1001,Amsterdam,Frankfurt,22/03/2018 06:10,22/03/2018 07:30,122.52,7
1002,Lelystad,Brussels,22/03/2018 07:00,22/03/2018 08:15,142.32,8
1003,Eindhoven,Salzburg,22/03/2018 07:15,22/03/2018 09:10,129.32,11
1004,Maastricht,Mallorca,22/03/2018 10:00,22/03/2018 12:45,155.32,64
1005,Rotterdam,Brussels,22/03/2018 10:55,22/03/2018 12:30,172.32,2
1006,Eindhoven,Copenhagen,22/03/2018 13:20,22/03/2018 15:00,172.32,2
1007,Lelystad,Liverpool,22/03/2018 15:35,22/03/2018 16:55,100.98,1
1008,Rotterdam,Bucharest,22/03/2018 18:40,22/03/2018 20:35,180.8,2
1009,Amsterdam,Budapest,22/03/2018 20:55,22/03/2018 22:00,167.9,3
1010,Amsterdam,Copenhagen,22/03/2018 22:55,23/03/2018 00:10,99.87,5
1011,Amsterdam,Barcelona,22/03/2018 23:15,23/03/2018 01:05,122.52,7
1012,Lelystad,Stockholm,22/03/2018 23:35,23/03/2018 01:45,142.32,8
1013,Eindhoven,Groningen,23/03/2018 05:40,23/03/2018 06:30,45.1,10
1014,Groningen,Edinburgh,23/03/2018 07:30,23/03/2018 08:40,155.32,3
1015,Eindhoven,Copenhagen,23/03/2018 09:10,23/03/2018 10:55,110.32,0
1016,Eindhoven,Budapest,23/03/2018 10:50,23/03/2018 12:10,172.32,2
1017,Maastricht,Brussels,23/03/2018 12:05,23/03/2018 13:00,90.45,11
1018,Rotterdam,Frankfurt,23/03/2018 13:40,23/03/2018 15:00,110.45,73
1019,Rotterdam,Stockholm,23/03/2018 10:25,23/03/2018 12:05,190.56,87
1020,Groningen,Copenhagen,23/03/2018 20:55,23/03/2018 22:20,120.12,7
1021,Amsterdam,Edinburgh,24/03/2018 04:55,24/03/2018 05:50,122.52,7
1022,Amsterdam,Barcelona,24/03/2018 05:20,24/03/2018 07:30,142.32,8
1023,Amsterdam,Edinburgh,24/03/2018 07:15,24/03/2018 08:15,129.32,11
1024,Rotterdam,Budapest,24/03/2018 07:40,24/03/2018 09:10,155.32,3
1025,Eindhoven,Budapest,24/03/2018 09:10,24/03/2018 10:55,172.32,2
1026,Eindhoven,Lelystad,24/03/2018 09:40,24/03/2018 11:30,172.32,2
1027,Lelystad,Salzburg,24/03/2018 10:05,24/03/2018 12:00,122.52,9
1028,Amsterdam,Frankfurt,24/03/2018 11:00,24/03/2018 12:55,90.78,12
1029,Rotterdam,Bucharest,24/03/2018 13:45,24/03/2018 16:35,172.32,1
1030,Rotterdam,Barcelona,24/03/2018 16:50,24/03/2018 19:00,90.78,6
1031,Groningen,Edinburgh,24/03/2018 20:05,24/03/2018 22:10,122.52,7
1032,Maastricht,Copenhagen,24/03/2018 22:15,25/03/2018 00:05,142.32,8
1033,Maastricht,Mallorca,25/03/2018 05:30,25/03/2018 07:45,129.32,11
1034,Groningen,Helsinki,25/03/2018 07:15,25/03/2018 08:30,155.32,3
1035,Amsterdam,Frankfurt,25/03/2018 08:45,25/03/2018 19:40,172.32,2
1036,Amsterdam,Stockholm,25/03/2018 12:05,25/03/2018 14:55,172.32,2
1037,Amsterdam,Helsinki,25/03/2018 19:30,25/03/2018 20:55,110.32,5
1038,Amsterdam,Brussels,25/03/2018 20:05,25/03/2018 22:55,122.52,10
1039,Amsterdam,Mallorca,25/03/2018 21:45,26/03/2018 00:05,172.32,12
1040,Lelystad,Brussels,25/03/2018 22:20,26/03/2018 00:15,189.2,6
1041,Amsterdam,Helsinki,26/03/2018 05:45,26/03/2018 07:00,122.52,7
1042,Groningen,Frankfurt,26/03/2018 09:50,26/03/2018 11:15,142.32,8
1043,Groningen,Liverpool,26/03/2018 12:20,26/03/2018 14:05,129.32,11
1044,Lelystad,Liverpool,26/03/2018 13:35,26/03/2018 15:00,155.32,3
1045,Rotterdam,Budapest,26/03/2018 16:15,26/03/2018 17:45,172.32,2
1046,Maastricht,Bucharest,26/03/2018 20:10,26/03/2018 23:20,172.32,2
1047,Eindhoven,Manchester,26/03/2018 22:45,27/03/2018 00:35,110.32,4
1048,Rotterdam,Edinburgh,26/03/2018 23:35,27/03/2018 00:50,122.52,5
1049,Lelystad,Eindhoven,27/03/2018 05:15,27/03/2018 07:30,42.16,8
1050,Lelystad,Salzburg,27/03/2018 07:15,27/03/2018 08:15,90.78,3
